data_extracao;descricao;estado;complemento;implantacao;logradouro_nome;num_inicial;num_final;defronte;cruzamento_nome;lado;fluxo;local_de_instal;;
2023-04-01 01:33:39.109;SENTIDO DE CIRCULAÇÃO DA VIA (SO)            ;INSTALADO;R-24A - N/P SEMÁFORO;16/03/1979;R CEL VICENTE;465.0;465.0;NÃO;AV ALBERTO BINS;IMPAR;CRESCENTE;CALCADA          ;;
2023-04-01 01:33:39.110;SENTIDO DE CIRCULAÇÃO DA VIA (SO)            ;INSTALADO;;21/03/1979;R CONCEICAO;195.0;0.0;NÃO;R COMENDADOR MANOEL PEREIRA;IMPAR;CRESCENTE;CANTEIRO CENTRAL ;;
2023-04-01 01:33:39.110;PARADA OBRIGATÓRIA;INSTALADO;;22/03/1979;R GEN VITORINO;185.0;185.0;NÃO;R DR FLORES;IMPAR;CRESCENTE;CALCADA          ;;
2023-04-01 01:33:39.111;PARADA OBRIGATÓRIA;INSTALADO;R-1 - S1;27/03/1979;R GEN CYPRIANO FERREIRA;561.0;561.0;NÃO;R DEMETRIO RIBEIRO;IMPAR;CRESCENTE;CALCADA          ;;
2023-04-01 01:33:39.111;SENTIDO DE CIRCULAÇÃO DA VIA (SO)            ;INSTALADO;R-24A - S3;27/03/1979;R GEN PORTINHO;579.0;579.0;NÃO;R WASHINGTON LUIZ;IMPAR;CRESCENTE;CALCADA          ;;
2023-04-01 01:33:39.111;SENTIDO DE CIRCULAÇÃO DA VIA (SO)            ;INSTALADO;R-24A - S1;29/03/1979;R DEMETRIO RIBEIRO;913.0;913.0;NÃO;R ESPIRITO SANTO;IMPAR;CRESCENTE;CALCADA          ;;
2023-04-01 01:33:39.112;PARADA OBRIGATÓRIA;INSTALADO;;02/05/1979;AV AMAZONAS;320.0;0.0;SIM;R CAIRU;IMPAR;CRESCENTE;CALCADA          ;;
2023-04-01 01:33:39.112;SENTIDO DE CIRCULAÇÃO DA VIA (SO)            ;INSTALADO;;03/05/1979;R SANTOS DUMONT;1250.0;0.0;SIM;R MOURA AZEVEDO;IMPAR;DECRESCENTE;CALCADA          ;;
2023-04-01 01:33:39.113;SENTIDO DE CIRCULAÇÃO DA VIA (SO)            ;INSTALADO;;08/05/1979;AV CEL LUCAS DE OLIVEIRA;1487.0;1487.0;NÃO;R CABRAL;IMPAR;DECRESCENTE;CALCADA          ;;
2023-04-01 01:33:39.115;PARADA OBRIGATÓRIA;INSTALADO;;11/05/1979;R LOBO DA COSTA;191.0;191.0;NÃO;R GEN LIMA E SILVA;IMPAR;CRESCENTE;CALCADA          ;;
2023-04-01 01:33:39.115;PARADA OBRIGATÓRIA;INSTALADO;;11/05/1979;R JOAQUIM NABUCO;525.0;0.0;NÃO;R JOAO ALFREDO;IMPAR;CRESCENTE;CALCADA          ;;
2023-04-01 01:33:39.115;SENTIDO DE CIRCULAÇÃO DA VIA (SO)            ;INSTALADO;;14/05/1979;R LOBO DA COSTA;459.0;0.0;NÃO;R IGNACIO MONTANHA;IMPAR;CRESCENTE;CALCADA          ;;
2023-04-01 01:33:39.116;SENTIDO DE CIRCULAÇÃO DA VIA (SO)            ;INSTALADO;;15/05/1979;TRAV FERREIRA DE ABREU;129.0;0.0;NÃO;PCA DR JULIO DE ARAGAO BOZANO;IMPAR;CRESCENTE;CALCADA          ;;
2023-04-01 01:33:39.116;PARADA OBRIGATÓRIA;INSTALADO;;15/05/1979;R MONTEIRO LOBATO;179.0;179.0;NÃO;R DR LOSSIO;IMPAR;CRESCENTE;CALCADA          ;;
2023-04-01 01:33:39.116;PONTO DE PARADA (ÔNIBUS)                     ;INSTALADO;;16/05/1979;R LA PLATA;765.0;765.0;NÃO;R CHILE;IMPAR;CRESCENTE;CALCADA          ;;
2023-04-01 01:33:39.116;SENTIDO DE CIRCULAÇÃO DA VIA (SO)            ;INSTALADO;;16/05/1979;R SANTA CECILIA;1449.0;0.0;NÃO;R FELIPE DE OLIVEIRA;IMPAR;CRESCENTE;CALCADA          ;;
2023-04-01 01:33:39.116;PONTO DE PARADA (ÔNIBUS)                     ;INSTALADO;- C/PS1;17/05/1979;R SILVEIRO;99.0;99.0;NÃO;R BARAO DO CERRO LARGO;IMPAR;CRESCENTE;CALCADA          ;;
2023-04-01 01:33:39.109;DIVISÃO DE PISTA CONTÍNUA (BRANCA);INSTALADO;20,00M X 0,10CM  A DIREITA DA VIA;29/08/2007;R MOSTARDEIRO;597.0;597.0;NÃO;AV GOETHE;IMPAR;CRESCENTE;LEITO DA VIA     ;;
2023-04-01 01:33:39.110;SENTIDO DE CIRCULAÇÃO DA VIA (SO)            ;INSTALADO;;27/03/1979;R DUQUE DE CAXIAS;458.0;0.0;SIM;R GEN PORTINHO;IMPAR;CRESCENTE;CALCADA          ;;
2023-04-01 01:33:39.111;SENTIDO DE CIRCULAÇÃO DA VIA (SO)            ;INSTALADO;;30/03/1979;R GEN BENTO MARTINS;565.0;0.0;NÃO;R CEL FERNANDO MACHADO;IMPAR;CRESCENTE;CALCADA          ;;
2023-04-01 01:33:39.112;SENTIDO DE CIRCULAÇÃO DA VIA (SO)            ;INSTALADO;;02/05/1979;R CAIRU;221.0;0.0;NÃO;AV RIO GRANDE;IMPAR;DECRESCENTE;CALCADA          ;;
2023-04-01 01:33:39.112;SENTIDO DE CIRCULAÇÃO DA VIA (SO)            ;INSTALADO;;03/05/1979;R CAIRU;125.0;125.0;NÃO;AV MISSOES;IMPAR;DECRESCENTE;CALCADA          ;;
2023-04-01 01:33:39.112;PARADA OBRIGATÓRIA;INSTALADO;S2;03/05/1979;AV GUIDO MONDIN;1005.0;0.0;NÃO;AV CEARA;IMPAR;CRESCENTE;CALCADA          ;;
2023-04-01 01:33:39.112;SENTIDO DE CIRCULAÇÃO DA VIA (SO)            ;INSTALADO;;03/05/1979;AV PARANA;1877.0;1877.0;NÃO;AV POLONIA;IMPAR;DECRESCENTE;CALCADA          ;;
